Trouble polygons for Grounding: 2
Ant_island_531.txt : Outside Grounding polygon
Ant_island_532.txt : Outside Grounding polygon
Ant_island_533.txt : Outside Grounding polygon
Ant_island_534.txt : Outside Grounding polygon
Ant_island_535.txt : Outside Grounding polygon
Ant_island_536.txt : Outside Grounding polygon
Ant_island_537.txt : Outside Grounding polygon
Ant_island_538.txt : Outside Grounding polygon
Ant_island_539.txt : Outside Grounding polygon
Ant_island_540.txt : Outside Grounding polygon
Ant_island_541.txt : Outside Grounding polygon
Ant_island_542.txt : Outside Grounding polygon
Ant_island_543.txt : Outside Grounding polygon
Ant_island_544.txt : Outside Grounding polygon
Ant_island_545.txt : Outside Grounding polygon
Ant_island_546.txt : Outside Grounding polygon
Ant_island_547.txt : Outside Grounding polygon
Ant_island_548.txt : Outside Grounding polygon
Ant_island_549.txt : Outside Grounding polygon
Ant_island_550.txt : Outside Grounding polygon
Ant_island_551.txt : Outside Grounding polygon
Ant_island_552.txt : Outside Grounding polygon
Ant_island_553.txt : Outside Grounding polygon
Ant_island_554.txt : Outside Grounding polygon
Ant_island_555.txt : Outside Grounding polygon
Ant_island_556.txt : Outside Grounding polygon
Ant_island_557.txt : Outside Grounding polygon
Ant_island_558.txt : Outside Grounding polygon
Ant_island_559.txt : Outside Grounding polygon
Ant_island_560.txt : Outside Grounding polygon
Ant_island_561.txt : Outside Grounding polygon
Ant_island_562.txt : Outside Grounding polygon
Ant_island_563.txt : Outside Grounding polygon
Ant_island_564.txt : G 002913 002346
Ant_island_565.txt : Outside Grounding polygon
Ant_island_566.txt : Outside Grounding polygon
Ant_island_567.txt : Outside Grounding polygon
Ant_island_568.txt : Outside Grounding polygon
Ant_island_569.txt : Outside Grounding polygon
Ant_island_570.txt : Outside Grounding polygon
Ant_island_571.txt : Outside Grounding polygon
Ant_island_572.txt : Outside Grounding polygon
Ant_island_573.txt : Outside Grounding polygon
Ant_island_574.txt : Outside Grounding polygon
Ant_island_575.txt : Outside Grounding polygon
Ant_island_576.txt : Outside Grounding polygon
Ant_island_577.txt : Outside Grounding polygon
Ant_island_578.txt : Outside Grounding polygon
Ant_island_579.txt : Outside Grounding polygon
Ant_island_580.txt : Outside Grounding polygon
Ant_island_581.txt : Outside Grounding polygon
Ant_island_582.txt : Outside Grounding polygon
Ant_island_583.txt : Outside Grounding polygon
Ant_island_584.txt : Outside Grounding polygon
Ant_island_585.txt : Outside Grounding polygon
Ant_island_586.txt : Outside Grounding polygon
Ant_island_587.txt : Outside Grounding polygon
Ant_island_588.txt : Outside Grounding polygon
Ant_island_589.txt : Outside Grounding polygon
Ant_island_590.txt : Outside Grounding polygon
Ant_island_591.txt : Outside Grounding polygon
Ant_island_592.txt : Outside Grounding polygon
Ant_island_593.txt : Outside Grounding polygon
Ant_island_594.txt : Outside Grounding polygon
Ant_island_595.txt : Outside Grounding polygon
Ant_island_596.txt : Outside Grounding polygon
Ant_island_597.txt : Outside Grounding polygon
Ant_island_598.txt : Outside Grounding polygon
Ant_island_599.txt : Outside Grounding polygon
Ant_island_600.txt : Outside Grounding polygon
Ant_island_601.txt : Outside Grounding polygon
Ant_island_602.txt : Outside Grounding polygon
Ant_island_603.txt : Outside Grounding polygon
Ant_island_604.txt : Outside Grounding polygon
Ant_island_605.txt : Outside Grounding polygon
Ant_island_606.txt : Outside Grounding polygon
Ant_island_607.txt : Outside Grounding polygon
Ant_island_608.txt : Outside Grounding polygon
Ant_island_609.txt : Outside Grounding polygon
Ant_island_610.txt : Outside Grounding polygon
Ant_island_611.txt : Outside Grounding polygon
Ant_island_612.txt : Outside Grounding polygon
Ant_island_613.txt : Outside Grounding polygon
Ant_island_614.txt : Outside Grounding polygon
Ant_island_615.txt : Outside Grounding polygon
Ant_island_616.txt : Outside Grounding polygon
Ant_island_617.txt : Outside Grounding polygon
Ant_island_618.txt : Outside Grounding polygon
Ant_island_619.txt : Outside Grounding polygon
Ant_island_620.txt : Outside Grounding polygon
Ant_island_621.txt : Outside Grounding polygon
Ant_island_622.txt : Outside Grounding polygon
Ant_island_623.txt : Outside Grounding polygon
Ant_island_624.txt : Outside Grounding polygon
Ant_island_625.txt : Outside Grounding polygon
Ant_island_626.txt : Outside Grounding polygon
Ant_island_627.txt : Outside Grounding polygon
Ant_island_628.txt : Outside Grounding polygon
Ant_island_629.txt : Outside Grounding polygon
Ant_island_630.txt : Outside Grounding polygon
Ant_island_631.txt : Outside Grounding polygon
